,id,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,season,player_id
190,15536923,34,10,22,2,3,3,4,6,12,18,5,4,1,3,2,25,0.4545455,0.6666667,0.75,2024,17896062
191,15536924,35,9,23,5,15,5,5,0,2,2,0,0,0,0,0,28,0.3913043,0.3333333,1.0,2024,17895966
192,15536925,37,4,18,2,11,4,4,2,2,4,6,2,0,2,1,14,0.2222222,0.1818182,1.0,2024,458
193,15536946,13,1,3,0,1,0,0,1,1,2,2,2,0,0,1,2,0.3333333,0.0,0.0,2024,38017695
194,15536949,11,2,4,1,1,0,0,3,0,3,2,0,0,0,1,5,0.5,1.0,0.0,2024,19465326
195,15536950,16,2,5,0,1,0,0,1,1,2,3,0,1,3,3,4,0.4,0.0,0.0,2024,1028028519
196,15536952,22,5,11,1,2,2,4,1,3,4,0,0,1,0,3,13,0.4545455,0.5,0.5,2024,56677825
197,15536993,8,2,4,0,1,0,0,0,0,0,0,0,0,0,1,4,0.5,0.0,0.0,2024,56677831
198,15536997,23,2,6,1,4,3,4,3,5,8,1,0,1,0,3,8,0.3333333,0.25,0.75,2024,666748
199,15536998,32,5,11,0,3,0,0,0,9,9,2,1,1,4,1,10,0.4545455,0.0,0.0,2024,62
200,15536999,24,3,4,0,0,0,2,2,6,8,1,0,2,1,5,6,0.75,0.0,0.0,2024,3547282
201,15537000,11,2,4,1,2,1,1,1,0,1,1,1,0,1,0,6,0.5,0.5,1.0,2024,56677823
202,15537001,38,10,20,4,12,10,10,1,7,8,11,1,1,2,3,34,0.5,0.3333333,1.0,2024,3547239
203,15537002,26,2,5,2,3,1,3,0,2,2,1,0,1,0,2,7,0.4,0.6666667,0.3333333,2024,114
204,15537003,15,1,4,0,0,0,0,2,3,5,0,1,2,0,0,2,0.25,0.0,0.0,2024,38017725
205,15537005,29,8,16,4,8,4,4,3,3,6,1,0,1,3,2,24,0.5,0.5,1.0,2024,17896036
206,15537006,17,2,9,1,3,0,0,2,3,5,1,1,0,3,1,5,0.2222222,0.3333333,0.0,2024,4197029
207,15537011,25,3,6,2,4,0,0,1,3,4,1,1,1,2,4,8,0.5,0.5,0.0,2024,666965
208,15538261,35,9,15,4,7,13,14,1,8,9,2,0,0,2,2,35,0.6,0.5714286,0.9285714,2024,297
209,15538262,29,4,7,3,5,1,2,2,3,5,0,2,1,0,3,12,0.5714286,0.6,0.5,2024,56677824
210,15538263,30,6,7,0,0,4,5,6,8,14,1,1,5,2,2,16,0.8571429,0.0,0.8,2024,38017705
211,15538278,26,3,11,1,6,4,4,3,2,5,1,1,0,2,4,11,0.2727273,0.1666667,1.0,2024,420
212,15538303,28,7,12,0,2,8,9,0,5,5,10,1,0,3,4,22,0.5833333,0.0,0.8888889,2024,666786
213,15538304,14,1,5,0,2,0,0,1,2,3,1,0,0,1,1,2,0.2,0.0,0.0,2024,666505
214,15538305,22,4,6,3,5,2,2,1,4,5,1,0,2,0,2,13,0.6666667,0.6,1.0,2024,17896103
215,15538329,22,3,6,0,2,0,2,1,2,3,7,3,1,2,3,6,0.5,0.0,0.0,2024,38017656
216,15538330,24,2,6,2,5,0,2,0,0,0,1,1,0,0,5,6,0.3333333,0.4,0.0,2024,1028039105
217,15538365,15,1,1,1,1,2,2,1,4,5,1,0,0,0,2,5,1.0,1.0,1.0,2024,666703
218,15538366,16,2,4,1,2,0,0,0,1,1,0,0,1,0,2,5,0.5,0.5,0.0,2024,38017728
219,15538441,25,5,8,0,0,6,8,0,2,2,3,1,1,4,2,16,0.625,0.0,0.75,2024,413
220,15538442,31,3,18,1,6,5,9,0,2,2,7,0,0,1,2,12,0.1666667,0.1666667,0.5555556,2024,56677834
221,15538448,25,7,16,2,5,1,2,2,3,5,7,0,1,2,1,17,0.4375,0.4,0.5,2024,100
